시군명,지점명,도로명주소,지번주소,위도,경도
포천시,포천이동비행장(G231),,경기도 포천시 이동면 장암리 275-1,38.0248731600,127.3671127000
포천시,포천비행장(G217),,경기도 포천시 자작동 360-8,37.8649472800,127.1747220000
포천시,국군포천(일동)병원,,경기도 포천시 화현면 화현리 14-16,37.9154690300,127.3125098000
포천시,포천 종합운동장,경기도 포천시 군내면 호국로 1518,경기도 포천시 군내면 구읍리 691 (종합운동장),37.8882212500,127.2015940000
포천시,포천축구공원,경기도 포천시 신북면 신평로16번길 207-1,경기도 포천시 신북면 만세교리 산6번지,37.9673488700,127.2448664000
포천시,공동체지원센터(보장초등학교),경기도 포천시 창수면 창동로 115,경기도 포천시 창수면 오가리 424번지 학교 운동장,38.0282196400,127.1913078000
하남시,미사리경정공원,경기도 하남시 미사대로 505,경기도 하남시 신장동 281번지,37.5536314600,127.2132471000
하남시,하남육군비행장(G280),,경기도 하남시 초일동 296,37.5373827600,127.1808062000
화성시,롤링힐스 호텔,경기도 화성시 남양읍 시청로 290,경기도 화성시 남양읍 활초리 4-21번지 롤링힐스호텔,37.1900288900,126.8386378000
화성시,제부도헬기장,,경기도 화성시 서신면 제부리190-193,37.1631622000,126.6210420000
화성시,송산 체육공원,,경기도 화성시 송산면 삼존리 130,37.2182391900,126.7308388000
화성시,입파도,,경기도 화성시 우정읍 국화리 산4,37.1020982600,126.5407403000
화성시,장안 남산체육공원,,경기도 화성시 장안면 사랑리 2-4,37.0778683200,126.8342175000
화성시,다람산공원,경기도 화성시 병점중앙로 227,경기도 화성시 진안동 141 일원,37.2159117500,127.0323482000
화성시,화성 남양푸른뜰 체육공원(신규),경기도 화성시 남양읍 시청로45번길 95,경기도 화성시 남양읍 2236,37.2099712100,126.8264501000
화성시,현대자동차 기술연구소,경기도 화성시 남양읍 현대연구소로 150,경기도 화성시 남양읍 장덕리 772-1번지,37.1594006400,126.8135082000
화성시,센트럴파크,,경기도 화성시 반송동 59,37.2037541800,127.0612381000
화성시,비봉습지공원 마사토축구장,,경기도 화성시 비봉면 유포리619,37.2580686500,126.8479410000
화성시,삼성전자화성캠퍼스나노스타디움,경기도 화성시 동탄원천로 214-6,경기도 화성시 석우동 25,37.2120255900,127.0696482000
화성시,국화도,,경기도 화성시 우정읍 국화리 130,37.0608960200,126.5572214000
화성시,화성 기아자동차,경기도 화성시 우정읍 기아자동차로 95,경기도 화성시 우정읍 매향리 966번지,37.0392694700,126.7889762000
화성시,화성종합경기타운(주경기장),경기도 화성시 향남읍 향남로 470,경기도 화성시 향남읍 도이리 668번지 주경기장,37.1374720700,126.9240117000
화성시,서해안고속도로 화성휴게소(목포방향),경기도 화성시 팔탄면 서해안고속도로 301,,37.1459619100,126.8791581000
화성시,도원체육공원,경기도 화성시 향남읍 행정동로 96,,37.1333450000,126.9296952000
가평군,가평 종합운동장,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 316,37.8242544800,127.5085221000
가평군,양수발전소운동장,,경기도 가평군 가평읍 복장리 367-1,37.7381613000,127.5086939000
가평군,상면생활체육공원,,경기도 가평군 상면 연하리 220-1,37.8034040900,127.3473777000
가평군,설악체육공원,,경기도 가평군 설악면 선촌리 산34-2,37.6843322000,127.4887498000
가평군,가평 육군비행장(G213),,경기도 가평군 조종면 대보리 442-3,37.8165708600,127.3578093000
가평군,조종생활체육공원,경기도 가평군 조종면 조종희망로26번길 16,경기도 가평군 조종면 현리 420-12번지,37.8184116600,127.3522044000
가평군,북면생활체육공원,경기도 가평군 북면 가화로 999,,37.8843330000,127.5418330000
가평군,청평생활체육공원,경기도 가평군 청평면 경춘로 884-41(청평리339),,37.7413423900,127.4260255000
고양시,도래울고등학교,경기도 고양시 덕양구 도래울1로 67,경기도 고양시 덕양구 도내동 1098번지,37.6285914600,126.8706052000
고양시,56사단 헬기장,경기도 고양시 덕양구 백운길 27-38,경기도 고양시 덕양구 지축동 328,37.6534366800,126.9320409000
고양시,백석축구장,,경기도 고양시 일산동구 백석동 1233,37.6480339500,126.7947323000
고양시,동국대학교병원,경기도 고양시 일산동구 동국로 27,경기도 고양시 일산동구 식사동 814번지,37.6764385200,126.8055631000
고양시,고양어울림누리,경기도 고양시 덕양구 어울림로 33,경기도 고양시 덕양구 성사동 826번지,37.6505947200,126.8347902000
고양시,원능수질복원센터,경기도 고양시 덕양구 신평길 76,경기도 고양시 덕양구 토당동 912번지,37.6225304900,126.7964895000
고양시,고양종합운동장,경기도 고양시 일산서구 중앙로 1601,경기도 고양시 일산서구 대화동 2320번지,37.6746401000,126.7418506000
과천시,과천청사헬기장,,경기도 과천시 중앙동 3,37.4243878300,126.9815298000
과천시,과천고등학교,경기도 과천시 꿈보람길 26,경기도 과천시 별양동 5번지,37.4308283300,126.9970265000
광명시,광일초등학교,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,37.4716201500,126.8469648000
